French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
première,first
côté,side
sois,be
tiens,here
matin,morning
tellement,so much
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
